,Animal ID,Name,DateTime,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Month,Year
124366,A700362,Unknown,2015-05-15 18:56:00,2015-03-09,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,May,2015
81239,A823151,Grayson,2020-10-13 09:47:00,2018-09-17,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair,Blue Tabby,Oct,2020
93569,A859011,Unknown,2022-06-13 16:12:00,2022-02-07,Adoption,Foster,Dog,Spayed Female,4 months,Pit Bull,Chocolate/White,Jun,2022
42181,A705421,Porthos,2015-07-29 18:06:00,2015-02-11,Adoption,Foster,Dog,Neutered Male,5 months,German Shepherd/Labrador Retriever,Tricolor,Jul,2015
69718,A729382,Miho,2016-07-10 17:27:00,2006-06-17,Adoption,Foster,Dog,Neutered Male,10 years,Chihuahua Shorthair Mix,Tricolor,Jul,2016
100312,A833439,Willow,2021-07-10 07:52:00,2020-07-29,Adoption,Foster,Cat,Spayed Female,11 months,Domestic Shorthair,White/Blue Tabby,Jul,2021
54593,A717046,LittleGirl,2016-01-08 16:06:00,2010-12-02,Adoption,Foster,Cat,Spayed Female,5 years,Domestic Longhair Mix,Black,Jan,2016
153858,A881205,Newcastle,2023-07-15 18:48:00,2023-03-31,Adoption,Foster,Cat,Intact Female,3 months,Domestic Shorthair,Black/White,Jul,2023
80019,A700461,Lillith,2015-05-28 17:18:00,2015-03-23,Adoption,Foster,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Tortie,May,2015
125168,A708235,Unknown,2015-09-01 17:47:00,2015-06-24,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby,Sep,2015
31404,A704002,Nala,2015-06-13 14:24:00,2014-07-31,Adoption,Foster,Dog,Spayed Female,10 months,Labrador Retriever/Anatol Shepherd,Yellow,Jun,2015
69851,A772765,Seraphina,2018-08-19 14:54:00,2016-05-23,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Torbie,Aug,2018
106389,A563065,Lola,2018-05-09 08:45:00,2009-09-27,Adoption,Foster,Dog,Spayed Female,8 years,Parson Russell Terrier/Chihuahua Shorthair,White/Buff,May,2018
42899,A842360,A842360,2021-09-18 09:27:00,2021-04-14,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair,Orange Tabby/White,Sep,2021
113195,A835496,Feta,2021-06-03 16:00:00,2021-01-28,Adoption,Foster,Dog,Neutered Male,4 months,Labrador Retriever,Yellow,Jun,2021
153688,A884715,Cozmo,2023-08-21 12:28:00,2021-07-07,Adoption,Foster,Dog,Neutered Male,2 years,German Shepherd/Labrador Retriever,Cream/White,Aug,2023
91554,A775234,Unknown,2018-06-30 16:56:00,2017-10-26,Adoption,Foster,Dog,Neutered Male,8 months,Chihuahua Shorthair Mix,Black,Jun,2018
74398,A810686,Stella,2020-01-09 16:22:00,2019-11-13,Adoption,Foster,Dog,Spayed Female,1 month,Rottweiler Mix,Black/Brown,Jan,2020
37742,A710383,Pepper,2016-07-03 15:40:00,2013-08-22,Adoption,Foster,Dog,Spayed Female,2 years,Rat Terrier Mix,White/Tan,Jul,2016
35178,A748703,Tyson,2017-05-14 14:07:00,2017-02-22,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White,May,2017
57230,A874257,Nicki,2023-02-14 16:36:00,2022-02-08,Adoption,Foster,Dog,Spayed Female,1 year,Border Collie,White/Tricolor,Feb,2023
62057,A676368,Unknown,2014-04-13 17:57:00,2014-01-28,Adoption,Foster,Dog,Neutered Male,2 months,Basset Hound/Beagle,Tan/White,Apr,2014
123703,A673545,Scrapper,2014-05-23 19:14:00,2012-02-26,Adoption,Foster,Dog,Neutered Male,2 years,Labrador Retriever Mix,Brown Brindle/White,May,2014
110791,A755631,Unknown,2017-11-02 07:05:00,2017-05-15,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby,Nov,2017
20474,A714027,Keenan,2015-10-23 18:47:00,2010-10-17,Adoption,Foster,Cat,Neutered Male,5 years,Domestic Longhair Mix,Blue/White,Oct,2015
29356,A849379,A849379,2022-01-12 16:02:00,2021-11-06,Adoption,Foster,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,White/Tricolor,Jan,2022
34842,A759763,Pumpkin,2017-10-29 12:24:00,2015-10-07,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Cream Tabby/White,Oct,2017
56369,A735903,KitKat,2016-10-11 11:51:00,2016-08-05,Adoption,Foster,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black,Oct,2016
86092,A864744,Duke,2023-02-19 14:46:00,2020-02-11,Adoption,Foster,Dog,Neutered Male,3 years,American Pit Bull Terrier Mix,Black,Feb,2023
28482,A848840,Grayson,2021-12-31 15:57:00,2021-06-29,Adoption,Foster,Dog,Neutered Male,6 months,Pit Bull,Blue/White,Dec,2021
101073,A706280,Foxx,2020-12-31 13:09:00,2015-04-01,Adoption,Foster,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Tortie,Dec,2020
109575,A790316,Unknown,2019-03-12 17:35:00,2018-10-08,Adoption,Foster,Dog,Neutered Male,5 months,Cardigan Welsh Corgi,Brown/Tricolor,Mar,2019
88337,A797398,Sadie,2019-06-20 15:58:00,2018-06-13,Adoption,Foster,Dog,Spayed Female,1 year,Cairn Terrier,White/Gray,Jun,2019
86938,A843321,A843321,2021-10-04 16:04:00,2021-07-16,Adoption,Foster,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,White/Black,Oct,2021
58763,A833389,Scooby,2021-05-03 14:43:00,2019-04-29,Adoption,Foster,Dog,Neutered Male,2 years,Great Dane,Brown/Black,May,2021
120703,A741712,Zippy,2017-01-14 13:56:00,2016-01-07,Adoption,Foster,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/White,Jan,2017
140123,A727224,Unknown,2016-06-12 09:39:00,2011-05-20,Adoption,Foster,Bird,Intact Female,5 years,Peafowl Mix,Brown/Green,Jun,2016
126456,A732661,Sammy,2016-08-18 15:10:00,2016-06-11,Adoption,Foster,Dog,Intact Male,2 months,Chihuahua Shorthair Mix,Tan/Black,Aug,2016
140335,A779298,Unknown,2018-09-03 17:02:00,2017-08-29,Adoption,Foster,Dog,Neutered Male,1 year,Chihuahua Longhair Mix,Black/Brown,Sep,2018
140889,A664274,Estrella,2013-10-11 15:29:00,2005-10-01,Adoption,Foster,Dog,Spayed Female,8 years,Siberian Husky Mix,Buff,Oct,2013
125471,A683200,Brody,2014-08-29 13:22:00,2014-05-24,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White,Aug,2014
16594,A707682,Sleepy,2015-08-21 15:43:00,2015-06-01,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,Aug,2015
58021,A827430,Eminem,2021-02-26 07:43:00,2020-12-19,Adoption,Foster,Dog,Neutered Male,2 months,Golden Retriever/Labrador Retriever,Gold,Feb,2021
43579,A762097,Junebug,2017-11-19 12:04:00,2010-05-14,Adoption,Foster,Dog,Spayed Female,7 years,Chihuahua Longhair,Black/Brown,Nov,2017
61048,A788605,Daisy,2019-02-11 16:58:00,2017-02-05,Adoption,Foster,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Brown/Black,Feb,2019
5148,A777415,Ukiyo,2018-08-26 12:07:00,2018-05-13,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black,Aug,2018
71740,A805407,Emma,2019-09-30 16:11:00,2019-07-26,Adoption,Foster,Dog,Spayed Female,2 months,Chihuahua Shorthair/Dachshund,Brown,Sep,2019
118726,A804406,Puppy,2019-10-15 18:50:00,2019-08-11,Adoption,Foster,Cat,Intact Female,2 months,Domestic Shorthair Mix,Calico,Oct,2019
1795,A830372,Tigger,2021-03-20 16:11:00,2020-03-08,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby,Mar,2021
61860,A751002,Mackie,2017-06-11 15:25:00,2016-12-03,Adoption,Foster,Dog,Spayed Female,6 months,Labrador Retriever Mix,Tricolor,Jun,2017
5273,A821072,Ouma,2022-02-20 12:46:00,2012-08-03,Adoption,Foster,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Calico,Feb,2022
119547,A785866,Pepper,2018-12-16 18:03:00,2015-12-11,Adoption,Foster,Dog,Neutered Male,3 years,Chihuahua Longhair Mix,Black/Brown,Dec,2018
105367,A793977,Peaches,2019-05-07 15:23:00,2017-05-02,Adoption,Foster,Dog,Spayed Female,2 years,Australian Kelpie Mix,Brown/White,May,2019
121764,A683966,Poppy,2014-10-23 07:35:00,2014-03-02,Adoption,Foster,Dog,Spayed Female,7 months,German Shepherd/English Coonhound,Brown,Oct,2014
146499,A853762,Essie,2022-04-30 17:46:00,2020-03-24,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair,Brown Tabby,Apr,2022
97380,A763918,Sacha,2017-12-20 16:00:00,2015-12-18,Adoption,Foster,Dog,Spayed Female,2 years,Labrador Retriever Mix,White/White,Dec,2017
34226,A789169,Unknown,2019-02-20 17:54:00,2018-07-16,Adoption,Foster,Dog,Spayed Female,7 months,Miniature Schnauzer Mix,White/Black,Feb,2019
128869,A798954,Unknown,2019-07-24 21:47:00,2019-04-13,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Medium Hair,Brown Tabby,Jul,2019
136950,A760849,Max,2017-10-30 16:58:00,2017-04-24,Adoption,Foster,Dog,Neutered Male,6 months,Chihuahua Shorthair Mix,Buff,Oct,2017
78992,A831404,Grace,2021-03-30 17:39:00,2020-07-26,Adoption,Foster,Cat,Spayed Female,8 months,Domestic Shorthair,Blue,Mar,2021
90661,A846572,A846572,2021-11-22 17:37:00,2021-09-02,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,Nov,2021
52778,A789940,Unknown,2019-03-08 14:23:00,2019-01-02,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Mar,2019
124319,A714585,Unknown,2015-10-31 13:28:00,2015-08-18,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue/White,Oct,2015
110307,A808078,Laya,2019-12-05 14:22:00,2017-11-03,Adoption,Foster,Dog,Spayed Female,2 years,Pit Bull,White/Blue,Dec,2019
132229,A702313,Harpo,2015-06-20 14:53:00,2015-04-05,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White,Jun,2015
9388,A778192,Craig,2018-08-18 14:58:00,2018-03-10,Adoption,Foster,Dog,Neutered Male,5 months,Labrador Retriever Mix,Cream,Aug,2018
105743,A745334,Unknown,2017-05-09 11:45:00,2017-02-09,Adoption,Foster,Dog,Neutered Male,2 months,Beagle Mix,Brown Brindle,May,2017
35762,A814898,Unknown,2020-03-12 18:25:00,2019-08-08,Adoption,Foster,Dog,Spayed Female,7 months,Pit Bull,Tan/White,Mar,2020
27640,A780485,Harley,2018-09-30 17:23:00,2018-07-15,Adoption,Foster,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Tan,Sep,2018
70350,A779600,Kelly,2018-09-08 18:48:00,2018-05-19,Adoption,Foster,Dog,Spayed Female,3 months,Labrador Retriever Mix,Chocolate/White,Sep,2018
6926,A844017,Misha,2021-11-06 16:07:00,2021-09-04,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair,Brown Tabby/White,Nov,2021
135211,A709181,Mittens,2015-08-17 17:46:00,2013-08-05,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue Tabby/White,Aug,2015
137099,A881767,Pretzel,2023-06-12 17:03:00,2023-01-26,Adoption,Foster,Dog,Neutered Male,4 months,Rottweiler/Pit Bull,Black/Tan,Jun,2023
49079,A709566,Unknown,2015-08-14 17:46:00,2015-05-10,Adoption,Foster,Dog,Neutered Male,3 months,Pointer Mix,White/Black,Aug,2015
130535,A769607,Dino,2018-05-26 12:42:00,2017-04-07,Adoption,Foster,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White,May,2018
40614,A665259,Unknown,2013-12-07 16:01:00,2013-09-23,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Black,Dec,2013
147361,A860683,Heidi,2022-07-11 16:44:00,2022-04-17,Adoption,Foster,Dog,Spayed Female,2 months,Anatol Shepherd/German Shepherd,Black/Brown,Jul,2022
150020,A854136,Sapphire,2022-04-22 12:55:00,2018-03-30,Adoption,Foster,Dog,Spayed Female,4 years,Staffordshire Mix,Blue/White,Apr,2022
141388,A694433,Honey,2015-01-01 16:49:00,2013-05-28,Adoption,Foster,Dog,Spayed Female,1 year,Pug/Chihuahua Shorthair,Tan,Jan,2015
45122,A714016,Betty,2015-12-18 15:18:00,2015-09-23,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,Dec,2015
52788,A704921,Rita,2015-08-16 15:42:00,2015-04-10,Adoption,Foster,Dog,Spayed Female,4 months,Brittany/Labrador Retriever,Red,Aug,2015
33807,A844706,Crosby,2021-10-23 16:13:00,2021-02-19,Adoption,Foster,Cat,Neutered Male,8 months,Domestic Shorthair,Brown Tabby,Oct,2021
98234,A814116,Totino,2020-08-24 12:11:00,2018-02-24,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair,Orange Tabby,Aug,2020
119988,A733581,Unknown,2016-08-28 14:29:00,2016-02-24,Adoption,Foster,Dog,Neutered Male,6 months,Dachshund/Jack Russell Terrier,Tan/White,Aug,2016
127755,A680916,ZazaZula,2014-06-17 18:19:00,2011-06-09,Adoption,Foster,Dog,Spayed Female,3 years,Great Pyrenees Mix,White,Jun,2014
151462,A871610,A871610,2023-01-03 17:49:00,2022-07-27,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair,White/Brown,Jan,2023
106418,A792728,Polaris,2019-05-12 19:36:00,2019-03-14,Adoption,Foster,Cat,Intact Male,1 month,Siamese Mix,Flame Point,May,2019
50524,A766651,Arwyn,2018-04-29 12:56:00,2015-02-13,Adoption,Foster,Dog,Spayed Female,3 years,Siberian Husky/German Shepherd,Brown/Cream,Apr,2018
78649,A804686,Unknown,2019-09-24 16:23:00,2018-12-24,Adoption,Foster,Dog,Spayed Female,9 months,Chow Chow,Red,Sep,2019
153800,A884494,Tigre,2023-07-14 13:44:00,2022-07-03,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby,Jul,2023
152531,A880659,Peach,2023-06-16 20:44:00,2023-04-05,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Torbie,Jun,2023
21755,A836923,Cameron,2021-06-28 16:06:00,2019-12-16,Adoption,Foster,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,Jun,2021
119638,A717656,Unknown,2015-12-22 13:04:00,2012-12-11,Adoption,Foster,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan,Dec,2015
147918,A848743,Penny,2022-01-02 13:31:00,2021-06-27,Adoption,Foster,Dog,Spayed Female,6 months,German Shepherd Mix,Brown/Black,Jan,2022
146374,A832916,Graceland,2023-03-07 18:14:00,2021-02-21,Adoption,Foster,Dog,Spayed Female,2 years,Doberman Pinsch/Labrador Retriever,Brown/White,Mar,2023
117337,A737194,Malachi,2016-11-28 13:21:00,2015-10-23,Adoption,Foster,Dog,Neutered Male,1 year,Pit Bull Mix,Black/White,Nov,2016
4290,A695310,Elijah,2015-07-02 12:46:00,2003-01-13,Adoption,Foster,Dog,Neutered Male,12 years,Miniature Schnauzer Mix,Gray,Jul,2015
114239,A819938,Tia,2020-09-03 10:50:00,2020-06-23,Adoption,Foster,Cat,Spayed Female,2 months,Siamese Mix,Flame Point,Sep,2020
51885,A749196,Molly,2018-01-20 16:06:00,2016-05-12,Adoption,Foster,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black,Jan,2018
136867,A684208,Marty,2014-08-21 17:16:00,2014-05-29,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby/White,Aug,2014
101909,A679067,Violet,2014-07-13 07:58:00,2014-04-07,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,Jul,2014
39204,A794787,Grover,2019-06-22 17:07:00,2019-04-19,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby/White,Jun,2019
27430,A845755,Panther,2021-11-17 15:25:00,2010-04-02,Adoption,Foster,Cat,Neutered Male,11 years,Domestic Shorthair,Black,Nov,2021
149344,A758581,Cosmo,2022-03-03 16:58:00,2017-09-09,Adoption,Foster,Cat,Neutered Male,4 years,Domestic Longhair,Blue Tabby,Mar,2022
2928,A784538,Unknown,2018-12-22 12:04:00,2018-10-09,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair,Blue,Dec,2018
49071,A845237,A845237,2021-11-02 17:58:00,2021-06-28,Adoption,Foster,Dog,Spayed Female,4 months,Border Collie/Anatol Shepherd,White/Black,Nov,2021
110843,A747382,Unknown,2017-04-22 17:02:00,2017-01-28,Adoption,Foster,Dog,Neutered Male,2 months,German Shepherd Mix,Brown,Apr,2017
17599,A712519,Unknown,2015-09-30 12:50:00,2014-09-24,Adoption,Foster,Dog,Spayed Female,1 year,Chihuahua Longhair Mix,Tricolor,Sep,2015
57786,A776530,Sydney,2018-12-05 17:03:00,2016-07-15,Adoption,Foster,Dog,Spayed Female,2 years,German Shepherd,Black/Brown,Dec,2018
35549,A742796,Princess,2017-01-28 15:45:00,2016-06-28,Adoption,Offsite,Dog,Spayed Female,7 months,Labrador Retriever Mix,Yellow,Jan,2017
99073,A701890,PoohBear,2015-05-10 19:00:00,2014-05-05,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby,May,2015
113016,A817083,Marie,2020-07-21 08:34:00,2020-04-07,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Tortie,Jul,2020
144,A726716,Montana,2016-12-20 09:59:00,2015-05-13,Adoption,Foster,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White,Dec,2016
129317,A660345,Clark,2014-01-05 15:43:00,2013-06-30,Adoption,Foster,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Orange Tabby,Jan,2014
34562,A783409,Unknown,2018-11-05 16:40:00,2018-07-15,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White,Nov,2018
1021,A741111,Bunny,2017-02-18 12:18:00,2016-11-13,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,Feb,2017
111787,A733680,Rocky,2016-10-06 19:23:00,2016-07-18,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,Oct,2016
710,A766628,IndisonJame,2018-02-18 15:21:00,2016-02-13,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White,Feb,2018
135726,A770396,Unknown,2018-04-23 21:44:00,2016-10-19,Adoption,Foster,Dog,Neutered Male,1 year,Jack Russell Terrier/Dachshund,White/Tricolor,Apr,2018
134572,A687028,Forest,2014-09-13 12:10:00,2013-03-02,Adoption,Foster,Cat,Neutered Male,1 year,Norwegian Forest Cat Mix,Brown Tabby/White,Sep,2014
99261,A683892,Panda,2014-08-17 11:11:00,2014-01-16,Adoption,Foster,Dog,Spayed Female,7 months,Queensland Heeler/Border Collie,Black/White,Aug,2014
120910,A809013,Unknown,2019-12-07 17:32:00,2019-10-02,Adoption,Foster,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown,Dec,2019
104173,A664286,Sugar,2013-10-07 17:42:00,2011-10-01,Adoption,Foster,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Brown,Oct,2013
60185,A810558,Areli,2020-01-02 13:31:00,2018-12-15,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair,Black Tabby/White,Jan,2020
107629,A682723,Pepper,2018-05-06 13:20:00,2012-07-02,Adoption,Foster,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Brown Brindle/White,May,2018
66323,A708373,Tammie,2015-07-30 14:14:00,2005-07-26,Adoption,Foster,Dog,Spayed Female,10 years,Rat Terrier Mix,Black/White,Jul,2015
90954,A797453,Unknown,2019-06-17 18:13:00,2017-06-13,Adoption,Foster,Dog,Spayed Female,2 years,Cocker Spaniel Mix,White/Tan,Jun,2019
55076,A676329,Captain,2014-04-28 12:43:00,2009-04-08,Adoption,Foster,Dog,Neutered Male,5 years,Anatol Shepherd Mix,Tan/Black,Apr,2014
114027,A845999,Luna,2022-01-20 13:03:00,2020-11-08,Adoption,Foster,Dog,Spayed Female,1 year,Pit Bull Mix,White/Brown,Jan,2022
80237,A700765,Mia,2015-06-04 10:56:00,2015-03-19,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,Jun,2015
102044,A876092,Hudson,2023-03-13 16:48:00,2022-12-30,Adoption,Foster,Dog,Neutered Male,2 months,Beagle/Rat Terrier,White/Brown,Mar,2023
82245,A802158,Luc,2019-09-02 14:37:00,2014-01-14,Adoption,Foster,Cat,Neutered Male,5 years,Domestic Shorthair,Black/White,Sep,2019
98818,A721932,Petey,2016-03-16 17:13:00,2009-03-07,Adoption,Foster,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Chocolate/White,Mar,2016
146031,A871014,A871014,2022-12-21 17:39:00,2022-07-16,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair,Gray Tabby,Dec,2022
88235,A852773,A852773,2022-04-25 16:14:00,2022-01-31,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Brown Tabby/White,Apr,2022
133520,A745148,Hazel,2017-03-20 18:48:00,2016-12-29,Adoption,Offsite,Dog,Spayed Female,2 months,Anatol Shepherd Mix,Tan/White,Mar,2017
5840,A663803,Zoey,2013-10-17 17:26:00,2009-09-24,Adoption,Foster,Dog,Spayed Female,4 years,Australian Cattle Dog Mix,Blue Merle,Oct,2013
17170,A821846,George,2020-10-07 07:27:00,2013-08-20,Adoption,Foster,Cat,Neutered Male,7 years,Domestic Shorthair,Orange Tabby,Oct,2020
86211,A686083,OMalley,2014-09-06 16:40:00,2007-08-25,Adoption,Foster,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Orange Tabby,Sep,2014
112485,A784130,Unknown,2018-11-17 15:15:00,2018-09-01,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,Nov,2018
154545,A881713,RubyJune,2023-07-26 17:34:00,2021-05-25,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair,Brown Tabby,Jul,2023
131148,A781498,Coco,2020-07-28 12:34:00,2016-09-30,Adoption,Foster,Dog,Intact Female,3 years,Rottweiler,Black/Tan,Jul,2020
7762,A692543,Karma,2014-12-06 18:08:00,2009-11-22,Adoption,Foster,Dog,Spayed Female,5 years,Catahoula Mix,Red Merle/White,Dec,2014
73917,A770617,Batgirl,2022-11-08 07:22:00,2015-04-22,Adoption,Foster,Dog,Spayed Female,7 years,Pit Bull Mix,Fawn/White,Nov,2022
19733,A860044,Unknown,2022-08-26 18:50:00,2022-06-22,Adoption,Foster,Dog,Neutered Male,2 months,Pit Bull,Sable,Aug,2022
42058,A692378,Sofie,2014-12-21 18:20:00,2014-10-19,Adoption,Foster,Dog,Spayed Female,2 months,German Shepherd/Labrador Retriever,Black/White,Dec,2014
134928,A714601,Unknown,2015-11-01 19:08:00,2015-08-10,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Nov,2015
56894,A760310,Baby,2017-10-27 15:45:00,2017-08-16,Adoption,Foster,Dog,Intact Female,2 months,Pit Bull Mix,Black/White,Oct,2017
36728,A681979,Unknown,2014-07-12 16:46:00,2014-04-23,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,Jul,2014
133820,A731635,Andalucia,2016-08-20 19:19:00,2016-05-25,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,Aug,2016
109157,A873649,Clarence,2023-06-03 10:49:00,2022-01-29,Adoption,Foster,Dog,Neutered Male,1 year,Staffordshire Mix,Blue/White,Jun,2023
31306,A744448,Unknown,2017-03-05 17:04:00,2016-03-01,Adoption,Foster,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White,Mar,2017
86497,A506000,Lt,2016-09-21 12:03:00,2006-10-08,Adoption,Foster,Dog,Neutered Male,9 years,Labrador Retriever Mix,White/Tan,Sep,2016
49466,A714055,JorgeMcfly,2015-11-22 18:08:00,2014-10-17,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White,Nov,2015
12359,A789939,Unknown,2019-03-04 17:28:00,2019-01-02,Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Tortie,Mar,2019
138770,A681612,Unknown,2014-06-22 18:40:00,2014-04-18,Adoption,Foster,Dog,Spayed Female,2 months,Chihuahua Shorthair/Jack Russell Terrier,Buff/Yellow,Jun,2014
81652,A731782,Unknown,2016-08-01 19:10:00,2014-07-27,Adoption,Foster,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black,Aug,2016
90000,A731473,Stella,2016-08-06 13:26:00,2016-05-22,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,Aug,2016
59383,A805222,Reese,2019-09-28 16:34:00,2019-07-24,Adoption,Foster,Dog,Spayed Female,2 months,Pit Bull,Brown Brindle,Sep,2019
29795,A764764,Tux,2018-01-14 18:55:00,2016-01-05,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White,Jan,2018
111621,A732363,Liz,2016-09-10 16:49:00,2016-06-26,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby,Sep,2016
98939,A872133,A872133,2023-01-23 16:14:00,2021-01-04,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair,Black/White,Jan,2023
118914,A836755,Biscuit,2021-07-07 16:51:00,2019-06-14,Adoption,Foster,Dog,Neutered Male,2 years,Boxer/Black Mouth Cur,Red,Jul,2021
148110,A860149,Ophelia,2022-07-05 17:23:00,2020-12-23,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie,Jul,2022
82270,A876806,Bagheera,2023-05-14 19:20:00,2021-03-20,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull,Black/White,May,2023
127119,A746338,Unknown,2017-04-04 18:08:00,2010-04-01,Adoption,Foster,Dog,Spayed Female,7 years,Chihuahua Shorthair Mix,White/Black,Apr,2017
144699,A847503,Crayola,2021-12-07 17:14:00,2021-10-02,Adoption,Foster,Dog,Spayed Female,2 months,Boxer Mix,Brown/White,Dec,2021
78639,A723337,Glenda,2016-04-04 17:09:00,2014-03-30,Adoption,Foster,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan/White,Apr,2016
33245,A762236,Charlie,2017-11-20 16:27:00,2017-08-16,Adoption,Foster,Dog,Neutered Male,3 months,Pit Bull Mix,White/Brown,Nov,2017
107483,A846270,Chica,2021-12-11 12:45:00,2021-10-05,Adoption,Foster,Dog,Spayed Female,2 months,Chihuahua Shorthair/Dachshund,Brown/White,Dec,2021
113662,A706630,Patches,2015-08-01 18:36:00,2014-07-01,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,Aug,2015
